restaurant_id,cuisine_type
136,American
136,Healthy
137,Pizza
137,Italian
137,Pasta
138,Mexican
138,Latin American
138,New Mexican
139,Breakfast &amp; Brunch
139,Donuts
140,Vegan
140,Wings
140,Fast Food
140,Desserts
140,Breakfast and Brunch
141,Pizza
141,American
141,Italian
142,Mediterranean
142,Greek
142,Comfort Food
143,Wings
143,American
143,Fast Food
144,Pizza
144,American
144,Italian
145,American
145,Sandwiches
145,Pizza
146,Mexican
146,Latin American
146,New Mexican
147,Mexican
147,Tacos
147,Latin American
148,Mediterranean
148,American
148,Chicken
149,Pizza
149,American
149,Italian
150,Chinese
150,Asian
150,Noodles
151,Mexican
151,Latin American
151,Spanish
152,Mexican
153,American
153,Fast Food
153,Sandwich
154,Soul Food
154,American
154,Burgers
155,Mexican
155,Latin American
155,Comfort Food
156,Seafood
156,American
156,Southern
157,Sushi
157,Burritos
157,Tacos
158,Salads
158,American
158,Sandwich
159,American
159,Breakfast and Brunch
159,Burgers
159,Chicken
159,Fast Food
159,Sandwich
160,American
160,Seafood
161,Pizza
161,American
161,Italian
161,Sandwich
161,Salads
162,Burgers
162,American
162,Sandwiches
163,Sandwiches
163,American
163,Healthy
164,American
164,Bar Food
164,Wings
164,Fast Food
164,Chicken
164,Family Meals
164,Exclusive to Eats
164,Comfort Food
165,American
165,Breakfast &amp; Brunch
165,Salads
166,Breakfast and Brunch
166,salad
166,Sandwich
166,Pizza
166,Healthy
166,American
166,Chicken
167,Salads
167,American
167,Vegetarian
167,Healthy
168,American
168,Chicken Strips
168,Wings
168,Chicken
169,American
169,Sandwich
169,Burgers
170,American
170,Sandwiches
170,Salads
171,American
171,Breakfast and Brunch
171,Coffee and Tea
171,Dinner
171,Desserts
171,Salads
171,Steak
171,Sandwich
171,Family Meals
172,Comfort Food
172,American
172,Burgers
173,Mediterranean
173,Greek
173,Comfort Food
174,Mexican
174,Latin American
174,New Mexican
175,Burgers
175,American
175,Sandwiches
176,Mediterranean
176,Wings
176,Comfort Food
177,Sandwiches
177,American
177,Comfort Food
178,American
178,Bar Food
178,burger
178,Sandwiches
178,Burgers
179,Wings
179,American
179,Fast Food
180,American
180,Sandwich
181,Comfort Food
181,American
181,Wings
182,Wings
182,American
182,Fast Food
183,Wings
183,American
183,Fast Food
184,American
184,Burgers
184,Sandwiches
185,Coffee and Tea
185,American
185,Breakfast and Brunch
186,Black-owned
186,American
186,Family Meals
187,American
187,Burgers
187,Fast Food
188,Comfort Food
188,American
188,Wings
189,American
189,Wings
189,Sandwich
190,Mediterranean
190,American
190,Greek
191,Wings
191,American
191,Fast Food
192,American
192,Sandwich
192,Salads
192,Healthy
193,Salads
193,American
193,Seafood
193,Sandwich
193,Wings
194,Soul Food
194,American
194,Burgers
195,Ice Cream + Frozen Yogurt
195,Burgers
195,Chicken
195,American
196,Burgers
196,American
196,Sandwiches
197,BBQ
197,American
197,Burgers
198,American
198,Fast Food
198,wings
199,Black-owned
199,BBQ
199,American
199,Burgers
199,Family Meals
200,American
200,Desserts
201,American
201,Family Meals
202,Burgers
202,American
202,Sandwich
202,Salads
202,Healthy
203,American
203,Wings
203,Salads
203,Healthy
203,Family Meals
204,Seafood
204,Fast Food
204,Fish and Chips
204,American
204,Family Meals
205,Comfort Food
205,American
205,Burgers
206,American
206,burger
206,Fast Food
206,Family Meals
207,Burgers
207,American
207,Sandwiches
207,Family Meals
208,American
208,Burgers
208,Fast Food
208,Fast Food
209,American
209,Burgers
209,Sandwich
210,Desserts
210,Ice Cream + Frozen Yogurt
210,Japanese sweets
210,Juice and Smoothies
210,Vegetarian Friendly
211,Burgers
211,American
211,Sandwiches
211,Salads
211,Healthy
211,Pizza
211,Vegetarian Friendly
212,Desserts
212,Comfort Food
212,Kids Friendly
212,Exclusive to Eats
213,Pizza
213,American
213,Italian
213,Family Friendly
214,American
214,Vegetarian Friendly
215,Bakery
215,Breakfast and Brunch
215,Cafe
215,Coffee &amp; Tea
215,Group Friendly
216,Asian
216,Asian Cuisine
216,Family Friendly
217,Thai
217,Asian
217,Noodles
217,Family Friendly
217,Group Friendly
218,Pizza
218,American
218,Italian
218,Allergy Friendly
219,American
219,New American
219,Wings
219,Burgers
219,Burgers
219,Chicken
219,Steak
219,Seafood
219,Sandwich
219,Sandwiches
219,Salads
219,Salads
219,Tacos
219,Tacos
219,Bar Food
219,Vegetarian Friendly
219,Kids Friendly
219,Family Friendly
220,Burgers
220,American
220,Sandwiches
220,Steak
220,Seafood
220,Salads
220,BBQ
220,Healthy
220,Family Friendly
221,BBQ
221,Burgers
221,Salads
221,Healthy
221,Family Friendly
222,American
222,Sandwich
222,Fast Food
222,Kids Friendly
223,Sushi
223,Asian
223,Japanese
223,Burgers
223,Salads
223,Desserts
223,Healthy
223,Family Meals
223,Family Friendly
224,Chinese
224,Asian
224,Family Friendly
224,Exclusive to Eats
224,Group Friendly
225,Fried Chicken
225,Sandwiches
225,Southern
225,Alcohol
226,American
226,Burgers
226,Sandwich
226,Alcohol
227,Breakfast and Brunch
227,American
227,Comfort Food
227,Alcohol
228,American
228,Sandwiches
228,Cheesesteak
228,Alcohol
229,Breakfast and Brunch
229,American
229,Sandwich
229,Alcohol
230,Bakery
230,Breakfast and Brunch
230,Cafe
230,Coffee &amp; Tea
231,American
231,Healthy
232,Seafood
232,Comfort Food
232,Cajun
233,American
233,Juice and Smoothies
233,Sandwich
234,Fast Food
234,Sandwich
234,American
235,Salads
235,American
235,Vegetarian
235,Healthy
236,Juice and Smoothies
236,Bowls
236,Gluten Free
237,Burgers
237,American
237,Sandwiches
238,Pizza
238,American
238,Italian
239,American
239,Burgers
239,Sandwich
239,Seafood
239,Fish and Chips
239,Desserts
239,Fast Food
239,Bar Food
240,American
240,Fried Chicken
241,Sandwich
241,Family Meals
242,American
242,Fast Food
242,wings
242,Family Meals
243,Comfort Food
243,American
243,Wings
244,American
244,Wings
244,Bar Food
244,Chicken
244,Burgers
245,Mexican
245,Latin American
245,Comfort Food
246,Sushi
246,Rolls
246,Comfort Food
247,Burgers
247,American
247,Sandwiches
247,Family Meals
248,American
248,Chicken
248,Family Meals
248,Fried Chicken
248,Comfort Food
249,American
249,Bar Food
249,BBQ
249,burger
249,Chicken Strips
249,Comfort Food
249,Dinner
249,pasta
249,salad
249,Sandwich
249,Soup
249,Steak
249,Traditional American
249,wings
